Resistance measurement
HP3458A
mains frequency =, 50.0903753E+00
temperature =,33.5
Reset before measurement starting
Range?:,10e5
Item?:,esi sr1010 sn:939007 p//ssspc102 sn:94008
Trail1,100001.3655
Trail2,100001.1709
0,100001.2831
0,100001.1847
1,100001.2241
1,100001.0741
2,100001.2281
2,100001.0818
3,100001.2166
3,100001.1218
4,100001.2117
4,100001.1137
5,100001.2744
5,100001.1183
6,100001.2647
6,100001.1341
7,100001.2779
7,100001.1081
8,100001.2817
8,100001.0933
9,100001.2732
9,100001.1022
10,100001.272
10,100001.1144
11,100001.2718
11,100001.1064
12,100001.2775
12,100001.1164
13,100001.2836
13,100001.108
14,100001.2755
14,100001.1192
15,100001.2868
15,100001.1274
16,100001.4855
16,100001.1894
17,100001.2518
17,100001.1218
18,100001.2874
18,100001.13
19,100001.2699
19,100001.1329
A_mean:,100001.274865
A_stdevp:,0.055109128815949655
B_mean:,100001.1199
B_stdevp:,0.055109128815949655
Result
Time:,Wed Feb  1 17:09:44 2023
A_mean:,100001.274865
A_stdevp:,0.055109128815949655
B_mean:,100001.1199
B_stdevp:,0.027798712579752714
