DUT, Measurement Condition,Dial,L,L_Std,R,R_Std
BBT,Temperature at Dial 0 is 20.50,Dial 0,2.2796545234444443e-07,7.021069388598152e-11,0.008851962947444444,1.9601318851439774e-06
BBT,Temperature at Dial 0 is 20.50,Dial 0,2.2799503600000002e-07,9.646376059040506e-11,0.008847687882666667,2.473667234538208e-06
