DUT,frequency,Measurement Condition,Dial,L,L_Std,R,R_Std
BBT0,1591.5494309189535,Temperature at Dial 0 is 20.50,Dial 0,2.2800055881111112e-07,6.495630332441534e-11,0.008803454212777777,1.7369703800015903e-06
BBT0,1671.126902464901,Temperature at Dial 0 is 20.50,Dial 0,2.2799963854444444e-07,5.214608181807877e-11,0.008799367645999999,1.5786216840952208e-06
