lcr name:,KeySight E4980A
Name and description of Resistor under test: ,Cap01
GPIB source:,<bound method MessageBasedResource.read of <'GPIBInstrument'('GPIB0::17::INSTR')>>
2022-12-07,12:15:12
select the freq range,"[50, 100, 200, 300, 500, 800, 1000, 1591.5494309189535, 2000, 3000, 5000]"
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC OFF;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 200;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE CPG;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 300;:OUTP:DC:ISOL:LEV:VAL 0.02;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
300.0,1.000003456e-06,2.665038868e-08
300.0,1.000004979e-06,2.715398336e-08
300.0,1.000003879e-06,2.794881258e-08
300.0,1.000005232e-06,2.739547573e-08
300.0,1.000003855e-06,2.771605311e-08
300.0,1.000003855e-06,2.790967548e-08
300.0,1.000004752e-06,2.320290964e-08
300.0,1.000004147e-06,2.675593369e-08
300.0,1.000005416e-06,2.600869018e-08
300.0,1.000004525e-06,2.584029188e-08
300.0,1.000004595e-06,2.710744556e-08
300.0,1.000004773e-06,2.564696207e-08
300.0,1.000004351e-06,2.465823925e-08
300.0,1.00000352e-06,2.391706082e-08
300.0,1.000005159e-06,2.480368017e-08
300.0,1.000005564e-06,2.688946876e-08
Freq,300,Rs,2.6225316935e-08,1.4471217045495755e-09,Ls,1.000004503625e-06,6.699755094863642e-13
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC OFF;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 300;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE CPG;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 300;:OUTP:DC:ISOL:LEV:VAL 0.02;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
500.0,9.999849321e-07,1.484345544e-07
500.0,9.99983724e-07,1.452392147e-07
500.0,9.999846439e-07,1.454488059e-07
500.0,9.999845336e-07,1.469331393e-07
500.0,9.999854388e-07,1.454628282e-07
500.0,9.999857553e-07,1.454402707e-07
500.0,9.999846052e-07,1.442978807e-07
500.0,9.999849235e-07,1.467038831e-07
500.0,9.999846308e-07,1.485456347e-07
500.0,9.999842526e-07,1.469478303e-07
500.0,9.999845742e-07,1.471659938e-07
500.0,9.999849033e-07,1.485991198e-07
500.0,9.99984293e-07,1.481536927e-07
500.0,9.999846283e-07,1.477995626e-07
500.0,9.999847125e-07,1.473521457e-07
500.0,9.999840265e-07,1.488689564e-07
Freq,500,Rs,1.4696209456249998e-07,1.4211389866692038e-09,Ls,9.999846611e-07,4.911316429145264e-13
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC OFF;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 500;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE CPG;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 300;:OUTP:DC:ISOL:LEV:VAL 0.02;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
800.0,9.99971148e-07,2.764360385e-07
800.0,9.999717199e-07,2.764196448e-07
800.0,9.999708791e-07,2.789478348e-07
800.0,9.99970042e-07,2.766825235e-07
800.0,9.999714213e-07,2.781873295e-07
800.0,9.999710457e-07,2.782790586e-07
800.0,9.999710067e-07,2.782129175e-07
800.0,9.999714873e-07,2.765189213e-07
800.0,9.999710719e-07,2.746134434e-07
800.0,9.999705317e-07,2.826303067e-07
800.0,9.999699298e-07,2.800521682e-07
800.0,9.999705366e-07,2.814881525e-07
800.0,9.999716029e-07,2.759666085e-07
800.0,9.999706358e-07,2.785613365e-07
800.0,9.999711471e-07,2.801738114e-07
800.0,9.999713422e-07,2.776594685e-07
Freq,800,Rs,2.7817684776250003e-07,2.129278915197331e-09,Ls,9.9997097175e-07,5.225751352752714e-13
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC OFF;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 800;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE CPG;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 100;:OUTP:DC:ISOL:LEV:VAL 0.02;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
1000.0,9.999604792e-07,2.656892855e-07
1000.0,9.999606227e-07,2.616965634e-07
1000.0,9.99961381e-07,2.602523944e-07
1000.0,9.99960495e-07,2.506230659e-07
1000.0,9.999594395e-07,2.617253637e-07
1000.0,9.999608112e-07,2.643140258e-07
1000.0,9.999605093e-07,2.570831486e-07
1000.0,9.999598255e-07,2.641582124e-07
1000.0,9.999601769e-07,2.617255129e-07
1000.0,9.999600106e-07,2.627882676e-07
1000.0,9.999593203e-07,2.572697114e-07
1000.0,9.999614924e-07,2.608466048e-07
1000.0,9.999605668e-07,2.69978129e-07
1000.0,9.999598813e-07,2.582641623e-07
1000.0,9.999598967e-07,2.654321376e-07
1000.0,9.999599114e-07,2.619433909e-07
Freq,1000,Rs,2.614868735125e-07,4.397232333026808e-09,Ls,9.999603012375e-07,6.139620214599518e-13
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC OFF;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 1000;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE CPG;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 100;:OUTP:DC:ISOL:LEV:VAL 0.02;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
1591.5494309189535,9.999279402e-07,7.420908467e-07
1591.5494309189535,9.999266427e-07,7.444379417e-07
1591.5494309189535,9.99926934e-07,7.361131737e-07
1591.5494309189535,9.999280665e-07,7.441460898e-07
1591.5494309189535,9.999269438e-07,7.298847213e-07
1591.5494309189535,9.999278074e-07,7.383137329e-07
1591.5494309189535,9.999269944e-07,7.414842775e-07
1591.5494309189535,9.99926718e-07,7.427394478e-07
1591.5494309189535,9.999264898e-07,7.380464764e-07
1591.5494309189535,9.999266875e-07,7.343463086e-07
1591.5494309189535,9.999255988e-07,7.410365115e-07
1591.5494309189535,9.999263503e-07,7.408973432e-07
1591.5494309189535,9.999269433e-07,7.395239145e-07
1591.5494309189535,9.999263558e-07,7.385069987e-07
