lcr name:,KeySight E4980A
Name and description of Resistor under test: ,Zero
GPIB source:,<bound method MessageBasedResource.read of <'GPIBInstrument'('GPIB0::17::INSTR')>>
2023-03-01,08:37:38
select the freq range,"[47, 53, 197, 203, 497, 503, 997, 1003, 1997, 2003]"
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,10;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 197;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 0.1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 10;:FUNC:IMP:RANG:VAL 1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT ON;:FUNC:DCR:RANG:AUTO OFF;:FUNC:IMP:RANG:AUTO OFF;:OUTP:DC:ISOL:LEV:AUTO OFF;:DISP:PAGE MEASurement;
"
203.0,-8.355543022e-09,0.0001302046892
203.0,1.780805041e-08,-6.878386233e-06
203.0,-3.486696982e-08,0.0001552758443
203.0,-6.758944495e-08,-1.359349511e-05
203.0,8.257621488e-09,0.0001417641711
203.0,3.328184264e-09,0.0001209059572
203.0,-3.944406502e-08,0.0001354096936
203.0,-1.459192059e-08,8.636767946e-05
203.0,-6.406598423e-08,3.108708333e-05
203.0,-5.294671158e-08,5.012137205e-05
203.0,-3.601803264e-08,0.0001316078908
203.0,1.177528696e-08,2.411675216e-06
203.0,4.674064381e-08,5.833602271e-05
203.0,-8.644309421e-09,-5.569908416e-05
203.0,-3.122736781e-08,0.0001780454211
203.0,-8.138485403e-08,1.254317677e-06
Freq,203,Rs,7.1663803265e-05,7.24096961779413e-05,Ls,-2.19515885113125e-08,3.512915563232553e-08
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,10;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 203;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 0.1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 10;:FUNC:IMP:RANG:VAL 1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT ON;:FUNC:DCR:RANG:AUTO OFF;:FUNC:IMP:RANG:AUTO OFF;:OUTP:DC:ISOL:LEV:AUTO OFF;:DISP:PAGE MEASurement;
"
497.0,3.510886372e-09,-6.847153464e-07
497.0,2.380038193e-09,1.95037941e-05
497.0,-5.603946298e-09,3.314185709e-05
497.0,4.020752593e-09,5.63580525e-06
497.0,2.067991494e-09,8.7962496e-06
497.0,3.404302043e-09,2.193873124e-05
497.0,2.61479535e-09,7.939237985e-06
497.0,4.682874994e-09,2.768484597e-05
497.0,7.655648082e-09,8.685934372e-06
497.0,2.179365572e-09,1.783229234e-05
497.0,2.367050485e-09,3.259775039e-05
497.0,1.449660213e-08,3.267862785e-05
497.0,4.412765926e-09,2.72466609e-05
497.0,2.522755356e-09,3.887960749e-05
497.0,9.322906835e-09,2.563805583e-05
497.0,6.988410073e-09,1.717431238e-06
Freq,497,Rs,1.93270103936625e-05,1.2545513650521701e-05,Ls,4.18894995e-09,4.243750901642555e-09
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,10;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 497;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 0.1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 10;:FUNC:IMP:RANG:VAL 1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT ON;:FUNC:DCR:RANG:AUTO OFF;:FUNC:IMP:RANG:AUTO OFF;:OUTP:DC:ISOL:LEV:AUTO OFF;:DISP:PAGE MEASurement;
"
503.0,1.000288616e-08,2.760408586e-05
503.0,9.737424909e-09,3.279127283e-05
503.0,9.663005773e-09,2.955961963e-05
503.0,5.814690485e-09,2.529489075e-05
503.0,3.595531821e-09,1.830238865e-05
503.0,1.081952121e-08,2.65934787e-05
503.0,6.704424142e-09,2.748462473e-05
503.0,7.330217174e-09,1.612442906e-05
503.0,6.246093148e-09,2.656164561e-05
503.0,5.72126147e-09,1.512064798e-05
503.0,1.18448348e-08,3.08864818e-05
503.0,-4.567896931e-10,2.036027997e-05
503.0,7.514869535e-09,1.77373724e-05
503.0,3.020834692e-09,1.277995223e-05
503.0,9.062697135e-09,2.060087984e-05
503.0,6.595697859e-09,-1.087893185e-05
Freq,503,Rs,2.1057694886875e-05,1.0446637751184427e-05,Ls,7.07607503874375e-09,3.1946522603785374e-09
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,10;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 503;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 0.1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 10;:FUNC:IMP:RANG:VAL 1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT ON;:FUNC:DCR:RANG:AUTO OFF;:FUNC:IMP:RANG:AUTO OFF;:OUTP:DC:ISOL:LEV:AUTO OFF;:DISP:PAGE MEASurement;
"
997.0,1.867966848e-08,3.607406762e-05
997.0,1.762316463e-08,4.900832921e-05
997.0,1.610067761e-08,2.347588054e-05
997.0,1.696890513e-08,1.991322361e-05
997.0,1.635243446e-08,3.426357027e-05
997.0,1.866275586e-08,1.350103644e-05
997.0,1.866275586e-08,1.350103644e-05
997.0,1.587317683e-08,3.103893021e-05
997.0,1.754649627e-08,2.617348386e-05
997.0,1.879295697e-08,4.158600532e-05
997.0,1.739492695e-08,4.065107556e-05
997.0,1.739492695e-08,4.065107556e-05
997.0,1.881345919e-08,5.117204666e-05
997.0,1.874600063e-08,2.521599172e-05
997.0,1.588325693e-08,1.844890234e-05
997.0,1.614810718e-08,3.382216218e-05
Freq,997,Rs,3.1156051096250005e-05,1.1775034182293592e-05,Ls,1.7477729370625e-08,1.1466363685992631e-09
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,10;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 997;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 0.1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 10;:FUNC:IMP:RANG:VAL 1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT ON;:FUNC:DCR:RANG:AUTO OFF;:FUNC:IMP:RANG:AUTO OFF;:OUTP:DC:ISOL:LEV:AUTO OFF;:DISP:PAGE MEASurement;
"
1003.0,1.243346645e-08,2.050490906e-05
1003.0,1.29860733e-08,2.577641156e-05
1003.0,1.469525812e-08,2.188569618e-05
1003.0,1.529095553e-08,2.596262161e-05
1003.0,1.133278009e-08,3.267780167e-05
1003.0,1.291348385e-08,1.680809005e-05
1003.0,1.323803142e-08,1.590254002e-05
1003.0,1.589408651e-08,2.6120137e-05
1003.0,1.543252216e-08,4.160883906e-05
1003.0,1.178710918e-08,3.321074096e-05
1003.0,1.314551441e-08,2.800951903e-05
1003.0,1.399369886e-08,2.532568645e-05
1003.0,1.344451621e-08,5.140435323e-05
1003.0,1.280599337e-08,4.014568914e-05
1003.0,1.091877024e-08,2.694678013e-05
1003.0,1.189070548e-08,2.949514495e-05
Freq,1003,Rs,2.8861560006249997e-05,9.330714498583151e-06,Ls,1.326268532375e-08,1.4776815666292667e-09
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,10;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 1003;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 0.1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 10;:FUNC:IMP:RANG:VAL 1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT ON;:FUNC:DCR:RANG:AUTO OFF;:FUNC:IMP:RANG:AUTO OFF;:OUTP:DC:ISOL:LEV:AUTO OFF;:DISP:PAGE MEASurement;
"
1997.0,1.515510536e-08,7.24340154e-05
1997.0,1.492375699e-08,4.989616132e-05
1997.0,1.505103915e-08,8.35140633e-05
1997.0,1.557590615e-08,6.909436645e-05
1997.0,1.424086646e-08,7.447248723e-05
1997.0,1.525129157e-08,6.154193865e-05
1997.0,1.425589513e-08,4.832360685e-05
1997.0,1.4926618e-08,6.610209974e-05
1997.0,1.551285816e-08,6.522965085e-05
